Date,Close
10/11/2020,"11,350"
10/12/2020,"11,564"
10/13/2020,"11,437"
10/14/2020,"11,396"
10/15/2020,"11,544"
10/16/2020,"11,314"
10/17/2020,"11,356"
10/18/2020,"11,447"
10/19/2020,"11,732"
10/20/2020,"11,904"
10/21/2020,"12,853"
10/22/2020,"13,128"
10/23/2020,"12,941"
10/24/2020,"13,103"
10/25/2020,"13,040"
10/26/2020,"13,025"
10/27/2020,"13,632"
10/28/2020,"13,208"
10/29/2020,"13,482"
10/30/2020,"13,644"
10/31/2020,"13,841"
11/1/2020,"13,816"
11/2/2020,"13,622"
11/3/2020,"13,733"
11/4/2020,"14,002"
11/5/2020,"15,244"
11/6/2020,"15,561"
11/7/2020,"14,846"
11/8/2020,"15,347"
11/9/2020,"15,392"
11/10/2020,"15,393"
11/11/2020,"15,799"
11/12/2020,"16,150"
11/13/2020,"16,287"
11/14/2020,"15,997"
11/15/2020,"15,865"
11/16/2020,"16,717"
11/17/2020,"17,627"
11/18/2020,"17,781"
11/19/2020,"17,939"
11/20/2020,"18,586"
11/21/2020,"18,638"
11/22/2020,"18,585"
11/23/2020,"18,426"
11/24/2020,"18,938"
11/25/2020,"18,846"
11/26/2020,"17,122"
11/27/2020,"17,037"
11/28/2020,"17,764"
11/29/2020,"18,267"
11/30/2020,"19,376"
12/1/2020,"19,089"
12/2/2020,"19,161"
12/3/2020,"19,465"
12/4/2020,"18,833"
12/5/2020,"19,019"
12/6/2020,"19,246"
12/7/2020,"19,087"
12/8/2020,"18,784"
12/9/2020,"18,550"
12/10/2020,"18,352"
12/11/2020,"18,106"
12/12/2020,"18,794"
12/13/2020,"19,182"
12/14/2020,"19,201"
12/15/2020,"19,431"
12/16/2020,"21,240"
12/17/2020,"22,767"
12/18/2020,"22,911"
12/19/2020,"24,004"
12/20/2020,"23,494"
12/21/2020,"23,146"
12/22/2020,"23,434"
12/23/2020,"23,299"
12/24/2020,"23,384"
12/25/2020,"24,409"
12/26/2020,"26,648"
12/27/2020,"26,303"
12/28/2020,"26,634"
12/29/2020,"26,870"
12/30/2020,"28,896"
12/31/2020,"28,966"
1/1/2021,"29,259"
1/2/2021,"31,690"
1/3/2021,"33,581"
1/4/2021,"31,027"
1/5/2021,"33,788"
1/6/2021,"35,848"
1/7/2021,"39,596"
1/8/2021,"39,927"
1/9/2021,"40,769"
1/10/2021,"37,984"
1/11/2021,"34,184"
1/12/2021,"34,766"
1/13/2021,"37,248"
1/14/2021,"38,863"
1/15/2021,"36,324"
1/16/2021,"35,785"
1/17/2021,"36,530"
1/18/2021,"36,255"
1/19/2021,"36,494"
1/20/2021,"34,892"
1/21/2021,"31,275"
1/22/2021,"33,375"
1/23/2021,"32,340"
1/24/2021,"31,934"
1/25/2021,"32,643"
1/26/2021,"31,993"
1/27/2021,"31,030"
1/28/2021,"33,274"
1/29/2021,"34,715"
1/30/2021,"34,649"
1/31/2021,"32,626"
2/1/2021,"33,667"
2/2/2021,"35,686"
2/3/2021,"37,284"
2/4/2021,"37,712"
2/5/2021,"37,853"
2/6/2021,"40,103"
2/7/2021,"38,610"
2/8/2021,"44,797"
2/9/2021,"47,357"
2/10/2021,"45,039"
2/11/2021,"46,943"
2/12/2021,"47,853"
2/13/2021,"47,210"
2/14/2021,"48,921"
2/15/2021,"48,183"
2/16/2021,"48,642"
2/17/2021,"52,333"
2/18/2021,"52,059"
2/19/2021,"55,493"
2/20/2021,"56,501"
2/21/2021,"57,332"
2/22/2021,"54,919"
2/23/2021,"48,016"
2/24/2021,"48,720"
2/25/2021,"48,199"
2/26/2021,"45,621"
2/27/2021,"46,844"
2/28/2021,"45,255"
3/1/2021,"48,844"
3/2/2021,"47,477"
3/3/2021,"50,952"
3/4/2021,"47,924"
3/5/2021,"49,138"
3/6/2021,"48,583"
3/7/2021,"50,104"
3/8/2021,"51,896"
3/9/2021,"54,313"
3/10/2021,"56,932"
3/11/2021,"57,721"
3/12/2021,"56,981"
3/13/2021,"61,002"
3/14/2021,"60,173"
3/15/2021,"56,398"
